seed,trial,difficulty,clues,empty_cells,algorithm,solved,time_repeats,time_ms,time_s,nodes,assignments,backtracks
440,6,Medium,32,49,BT + Forward Checking,yes,21,5.373167,0.005373167,317,452,403
440,6,Medium,32,49,CSP + MRV (Project),yes,21,0.9705,0.0009705,50,49,0
440,6,Medium,32,49,CSP + MRV + LCV,yes,21,1.125166,0.001125166,50,49,0
440,7,Medium,32,49,Naive Backtracking,yes,21,0.975333,0.000975333,560,559,510
440,7,Medium,32,49,BT + Forward Checking,yes,21,3.203,0.003203,207,270,221
440,7,Medium,32,49,CSP + MRV (Project),yes,21,0.777375,0.000777375,50,49,0
440,7,Medium,32,49,CSP + MRV + LCV,yes,21,0.9315,0.0009315,50,49,0
440,8,Medium,32,49,Naive Backtracking,yes,21,0.183375,0.000183375,101,100,51
440,8,Medium,32,49,BT + Forward Checking,yes,21,0.738458,0.000738458,52,60,11
440,8,Medium,32,49,CSP + MRV (Project),yes,21,1.460291,0.001460291,86,85,36
440,8,Medium,32,49,CSP + MRV + LCV,yes,21,1.74175,0.00174175,86,85,36
440,9,Medium,32,49,Naive Backtracking,yes,21,0.618541,0.000618541,347,346,297
440,9,Medium,32,49,BT + Forward Checking,yes,21,0.991833,0.000991833,65,82,33
440,9,Medium,32,49,CSP + MRV (Project),yes,21,0.761125,0.000761125,50,49,0
440,9,Medium,32,49,CSP + MRV + LCV,yes,21,0.910417,0.000910417,50,49,0
440,10,Medium,32,49,Naive Backtracking,yes,21,23.139209,0.023139209,12824,12823,12774
440,10,Medium,32,49,BT + Forward Checking,yes,21,32.645292,0.032645292,1684,2638,2589
440,10,Medium,32,49,CSP + MRV (Project),yes,21,1.556458,0.001556458,50,49,0
440,10,Medium,32,49,CSP + MRV + LCV,yes,21,1.730458,0.001730458,50,49,0
440,1,Hard,26,55,Naive Backtracking,yes,21,16.352833,0.016352833,9126,9125,9070
440,1,Hard,26,55,BT + Forward Checking,yes,21,39.475667,0.039475667,1904,2773,2718
440,1,Hard,26,55,CSP + MRV (Project),yes,21,1.209041,0.001209041,56,55,0
440,1,Hard,26,55,CSP + MRV + LCV,yes,21,1.503917,0.001503917,67,66,11
440,2,Hard,26,55,Naive Backtracking,yes,21,4.806208,0.004806208,2646,2645,2590
440,2,Hard,26,55,BT + Forward Checking,yes,21,16.401292,0.016401292,879,1283,1228
440,2,Hard,26,55,CSP + MRV (Project),yes,21,4.642667,0.004642667,310,309,254
440,2,Hard,26,55,CSP + MRV + LCV,yes,21,5.834,0.005834,322,321,266
440,3,Hard,27,54,Naive Backtracking,yes,21,981.231291,0.981231291,555375,555374,555320
440,3,Hard,27,54,BT + Forward Checking,yes,21,353.624167,0.353624167,16791,28556,28502
440,3,Hard,27,54,CSP + MRV (Project),yes,21,2.120667,0.002120667,73,72,18
440,3,Hard,27,54,CSP + MRV + LCV,yes,21,2.389292,0.002389292,73,72,18
440,4,Hard,26,55,Naive Backtracking,yes,21,212.628208,0.212628208,124748,124747,124692
440,4,Hard,26,55,BT + Forward Checking,yes,21,157.718417,0.157718417,6730,11512,11457
440,4,Hard,26,55,CSP + MRV (Project),yes,21,2.633791,0.002633791,135,134,79
440,4,Hard,26,55,CSP + MRV + LCV,yes,21,2.305083,0.002305083,63,62,7
440,5,Hard,26,55,Naive Backtracking,yes,21,99.176083,0.099176083,56134,56133,56078
440,5,Hard,26,55,BT + Forward Checking,yes,21,144.3255,0.1443255,7427,10872,10817
440,5,Hard,26,55,CSP + MRV (Project),yes,21,7.480417,0.007480417,400,399,344
440,5,Hard,26,55,CSP + MRV + LCV,yes,21,8.719208,0.008719208,377,376,321
440,6,Hard,26,55,Naive Backtracking,yes,21,4.770834,0.004770834,2626,2625,2570
440,6,Hard,26,55,BT + Forward Checking,yes,21,6.551416,0.006551416,342,521,466
